LLT	PT_enc
abnormal withdrawal bleeding	PT_00102
abo haemolytic disease of newborn	PT_00103
abo incompatibility	PT_00104
aborted pregnancy	PT_00105
abortion	PT_00106
abortion complete	PT_00107
abortion complicated	PT_00108
abortion early	PT_00109
abortion incomplete	PT_00110
abortion incomplete complicated	PT_00111
abortion induced	PT_00112
abortion induced complete	PT_00113
abortion induced complicated	PT_00114
abortion induced incomplete	PT_00115
abortion induced incomplete complicated	PT_00116
abortion infected	PT_00117
abortion late	PT_00118
abortion missed	PT_00119
abortion of ectopic pregnancy	PT_00120
abortion spontaneous	PT_00121
abortion spontaneous complete	PT_00122
abortion spontaneous complicated	PT_00123
abortion spontaneous incomplete	PT_00124
abortion threatened	PT_00125
abscess	PT_00126
abscess bacterial	PT_00127
abscess drainage	PT_00128
abscess fungal	PT_00129
abscess intestinal	PT_00130
abscess jaw	PT_00131
abscess limb	PT_00132
abscess management	PT_00133
abscess neck	PT_00134
abscess of external ear	PT_00135
abscess of external auditory meatus	PT_00135
abscess of eyelid	PT_00136
abscess of salivary gland	PT_00137
abscess oral	PT_00138
abscess rupture	PT_00139
abscess soft tissue	PT_00140
abscess sterile	PT_00141
abscess sweat gland	PT_00142
absence of immediate treatment response	PT_00143
absorbable device issue	PT_00144
abstains from alcohol	PT_00145
abstains from recreational drugs	PT_00146
abulia	PT_00147
acalculia	PT_00148
acanthamoeba infection	PT_00149
acanthamoeba keratitis	PT_00150
acantholysis	PT_00151
acanthoma	PT_00152
acanthosis	PT_00153
acanthosis nigricans	PT_00154
acariasis	PT_00155
acarodermatitis	PT_00156
accelerated hypertension	PT_00157
accelerated idioventricular rhythm	PT_00158
acceleromyography	PT_00159
accessory auricle	PT_00160
accessory breast	PT_00161
accessory cardiac pathway	PT_00162
accessory kidney	PT_00163
accessory muscle	PT_00164
accessory navicular syndrome	PT_00165
accessory nerve disorder	PT_00166
accessory renal artery	PT_00167
accessory spleen	PT_00168
accident	PT_00169
accident at home	PT_00170
accident at work	PT_00171
accidental death	PT_00172
accidental device ingestion	PT_00173
accidental device ingestion by a child	PT_00174
accidental exposure to product	PT_00175
accidental exposure to product by child	PT_00176
accidental exposure to product by elderly person	PT_00177
accidental exposure to product packaging	PT_00178
accidental exposure to product packaging by child	PT_00179
accidental overdose	PT_00180
accidental poisoning	PT_00181
accidental underdose	PT_00182
accidental use of placebo	PT_00183
accommodation disorder	PT_00184
acetabulum fracture	PT_00185
acetate intolerance	PT_00186
acetonaemia	PT_00187
acetonaemic vomiting	PT_00188
acetylcholinesterase deficiency	PT_00189
achenbach syndrome	PT_00190
achlorhydria	PT_00191
achromobacter infection	PT_00192
achromotrichia acquired	PT_00193
achromotrichia congenital	PT_00194
acid base balance	PT_00195
acid base balance abnormal	PT_00196
acid fast bacilli infection	PT_00197
acid peptic disease	PT_00198
acid-base balance disorder mixed	PT_00199
acidosis	PT_00200
acidosis hyperchloraemic	PT_00201
acinar cell carcinoma of pancreas	PT_00202
acinetobacter bacteraemia	PT_00203
acinetobacter infection	PT_00204
acinetobacter sepsis	PT_00205
acinetobacter test positive	PT_00206
acinic cell carcinoma of salivary gland	PT_00207
acne	PT_00208
acne conglobata	PT_00209
acne cosmetica	PT_00210
acne cystic	PT_00211
acne fulminans	PT_00212
acne infantile	PT_00213
acne pustular	PT_00214
acne tropica	PT_00215
acne varioliformis	PT_00216
acoustic neuroma	PT_00217
acoustic neuroma removal	PT_00218
acoustic shock	PT_00219
acoustic stimulation tests abnormal	PT_00220
acquired acrodermatitis enteropathica	PT_00221
acquired amegakaryocytic thrombocytopenia	PT_00222
acquired aminoaciduria	PT_00223
acquired antithrombin iii deficiency	PT_00224
acquired apparent mineralocorticoid excess	PT_00225
acquired asplenia	PT_00226
acquired attr amyloidosis	PT_00227
amyloidosis senile	PT_00227
acquired blaschkoid dermatitis	PT_00228
acquired bronchial cyst	PT_00229
acquired c1 inhibitor deficiency	PT_00230
acquired cardiac septal defect	PT_00231
acquired cerebral palsy	PT_00232
acquired chromosomal abnormality	PT_00233
acquired complement deficiency disease	PT_00234
acquired corneal dystrophy	PT_00235
acquired coronary artery fistula	PT_00236
acquired cystic kidney disease	PT_00237
acquired diaphragmatic eventration	PT_00238
acquired digital fibrokeratoma	PT_00239
acquired dysfibrinogenaemia	PT_00240
acquired enamel hypoplasia	PT_00241
acquired epiblepharon	PT_00242
acquired epidermolysis bullosa	PT_00243
acquired epileptic aphasia	PT_00244
acquired factor v deficiency	PT_00245
acquired factor viii deficiency	PT_00246
acquired factor xi deficiency	PT_00247
acquired foramen magnum stenosis	PT_00248
acquired gene mutation	PT_00249
acquired generalised lipodystrophy	PT_00250
acquired growth hormone resistance	PT_00251
acquired haemoglobinopathy	PT_00252
acquired haemophilia with anti fviii, xi, or xiii	PT_00253
acquired haemophilia	PT_00253
acquired hepatocerebral degeneration	PT_00254
acquired hydrocele	PT_00255
acquired hypertrophy of the retinal pigment epithelium	PT_00256
acquired hypocalciuric hypercalcaemia	PT_00257
acquired immunodeficiency syndrome	PT_00258
acquired left ventricle outflow tract obstruction	PT_00259
acquired macroglossia	PT_00260
acquired mitochondrial dna deletion	PT_00261
acquired mitochondrial dna mutation	PT_00262
acquired mixed hyperlipidaemia	PT_00263
acquired oesophageal web	PT_00264
acquired perforating dermatosis	PT_00265
acquired phimosis	PT_00266
acquired pigmented retinopathy	PT_00267
positional plagiocephaly	PT_00268
acquired plagiocephaly	PT_00268
acquired porokeratosis	PT_00269
acquired porphyria	PT_00270
acquired protein s deficiency	PT_00271
acquired pyrimidine metabolism disorder	PT_00272
acquired right ventricle outflow obstruction	PT_00273
acquired syringomyelia	PT_00274
acquired thalassaemia	PT_00275
acquired tracheo-oesophageal fistula	PT_00276
acquired von willebrand's disease	PT_00277
acral lentiginous melanoma	PT_00278
acral lentiginous melanoma stage i	PT_00279
acral lentiginous melanoma stage ii	PT_00280
acral lentiginous melanoma stage iii	PT_00281
acral overgrowth	PT_00282
acral peeling skin syndrome	PT_00283
acrocephalosyndactyly	PT_00284
apert's syndrome	PT_00284
acrochordon	PT_00285
acrochordon excision	PT_00286
acrodermatitis chronica atrophicans	PT_00287
acrodermatitis enteropathica	PT_00288
acrodynia	PT_00289
acrodysostosis	PT_00290
acrokeratosis paraneoplastica	PT_00291
acrokeratosis verruciformis	PT_00292
acromegaly	PT_00293
acrophobia	PT_00294
acth stimulation test	PT_00295
acth stimulation test abnormal	PT_00296
acth-producing pituitary tumour	PT_00297
actinic cheilitis	PT_00298
actinic elastosis	PT_00299
actinic keratosis	PT_00300
actinic prurigo	PT_00301
actinomyces test positive	PT_00302
actinomycosis	PT_00303
actinomycotic abdominal infection	PT_00304
actinomycotic pulmonary infection	PT_00305
actinomycotic sepsis	PT_00306
actinomycotic skin infection	PT_00307
action tremor	PT_00308
activated partial thromboplastin time	PT_00309
activated partial thromboplastin time abnormal	PT_00310
kaolin cephalin clotting time abnormal	PT_00310
activated partial thromboplastin time prolonged	PT_00311
kaolin cephalin clotting time prolonged	PT_00311
activated partial thromboplastin time ratio	PT_00312
activated partial thromboplastin time ratio abnormal	PT_00313
activated partial thromboplastin time ratio decreased	PT_00314
activated partial thromboplastin time ratio increased	PT_00315
kaolin cephalin clotting time shortened	PT_00316
activated partial thromboplastin time shortened	PT_00316
activated pi3 kinase delta syndrome	PT_00317
activated protein c resistance	PT_00318
activated protein c resistance test positive	PT_00319
activation syndrome	PT_00320
acupuncture	PT_00321
acute abdomen	PT_00322
acute allograft nephropathy	PT_00323
acute aortic syndrome	PT_00324
acute aseptic arthritis	PT_00325
acute bilineal leukaemia	PT_00326
acute biphenotypic leukaemia	PT_00327
acute cardiac event	PT_00328
acute chest syndrome	PT_00329
gallbladder necrosis	PT_00330
acute cholecystitis necrotic	PT_00330
acute coronary syndrome	PT_00331
acute cutaneous lupus erythematosus	PT_00332
acute disseminated encephalomyelitis	PT_00333
acute encephalitis with refractory, repetitive partial seizures	PT_00334
acute endocarditis	PT_00335
erythroleukaemia	PT_00336
acute erythroid leukaemia	PT_00336
acute fatty liver of pregnancy	PT_00337
acute febrile neutrophilic dermatosis	PT_00338
acute flaccid myelitis	PT_00339
acute generalised exanthematous pustulosis	PT_00340
acute graft versus host disease	PT_00341
acute graft versus host disease in eye	PT_00342
acute graft versus host disease in intestine	PT_00343
acute graft versus host disease in liver	PT_00344
acute graft versus host disease in skin	PT_00345
acute graft versus host disease oral	PT_00346
acute haemolytic transfusion reaction	PT_00347
acute haemorrhagic conjunctivitis	PT_00348
acute haemorrhagic leukoencephalitis	PT_00349
acute haemorrhagic oedema of infancy	PT_00350
acute haemorrhagic ulcerative colitis	PT_00351
acute hepatic failure	PT_00352
acute hepatitis b	PT_00353
acute hepatitis c	PT_00354
acute hiv infection	PT_00355
acute interstitial pneumonitis	PT_00356
renal failure acute	PT_00357
acute prerenal failure	PT_00357
acute kidney injury	PT_00357
acute left ventricular failure	PT_00358
acute leukaemia	PT_00359
acute leukaemia in remission	PT_00360
acute lung injury	PT_00361
acute lymphocytic leukaemia	PT_00362
acute lymphocytic leukaemia (in remission)	PT_00363
acute lymphocytic leukaemia recurrent	PT_00364
acute lymphocytic leukaemia refractory	PT_00365
acute macular neuroretinopathy	PT_00366
acute macular outer retinopathy	PT_00366
acute zonal occult outer retinopathy	PT_00366
acute megakaryocytic leukaemia	PT_00367
acute monocytic leukaemia	PT_00368
acute motor axonal neuropathy	PT_00369
acute motor-sensory axonal neuropathy	PT_00370
acute myeloid leukaemia	PT_00371
acute myeloid leukaemia (in remission)	PT_00372
acute myeloid leukaemia recurrent	PT_00373
acute myeloid leukaemia refractory	PT_00374
acute myelomonocytic leukaemia	PT_00375
acute myocardial infarction	PT_00376
acute myopia	PT_00377
acute necrotising myelitis	PT_00378
acute oesophageal mucosal lesion	PT_00379
acute on chronic liver failure	PT_00380
acute painful neuropathy of rapid glycaemic control	PT_00381
acute phase reaction	PT_00382
acute phosphate nephropathy	PT_00383
acute polyneuropathy	PT_00384
acute post asthmatic amyotrophy	PT_00385
acute postoperative sialadenitis	PT_00386
acute promyelocytic leukaemia	PT_00387
acute psychosis	PT_00388
acute pulmonary histoplasmosis	PT_00389
acute pulmonary oedema	PT_00390
acute respiratory distress syndrome	PT_00391
acute respiratory failure	PT_00392
acute right ventricular failure	PT_00393
acute sinusitis	PT_00394
acute stress disorder	PT_00395
acute undifferentiated leukaemia	PT_00396
acute vestibular syndrome	PT_00397
adactyly	PT_00398
adams-oliver syndrome	PT_00399
adams-stokes syndrome	PT_00400
adamts13 activity abnormal	PT_00401
adamts13 activity assay	PT_00402
adamts13 activity decreased	PT_00403
adamts13 activity increased	PT_00404
adamts13 inhibitor screen assay	PT_00405
adaptive servo-ventilation	PT_00406
adcy5-related dyskinesia	PT_00407
addison's disease	PT_00408
adductor vocal cord weakness	PT_00409
adenine phosphoribosyl transferase deficiency	PT_00410
adenocarcinoma	PT_00411
adenocarcinoma gastric	PT_00412
adenocarcinoma metastatic	PT_00413
adenocarcinoma of appendix	PT_00414
adenocarcinoma of colon	PT_00415
adenocarcinoma of salivary gland	PT_00416
adenocarcinoma of the cervix	PT_00417
adenocarcinoma pancreas	PT_00418
adenoid cystic carcinoma	PT_00419
adenoid cystic carcinoma of salivary gland	PT_00420
adenoidal disorder	PT_00421
adenoidal hypertrophy	PT_00422
adenoidectomy	PT_00423
adenoiditis	PT_00424
adenolipoma	PT_00425
adenolymphoma	PT_00426
adenoma benign	PT_00427
adenomatous polyposis coli	PT_00428
adenomyosis	PT_00429
adenopathy syphilitic	PT_00430
adenosine deaminase 2 deficiency	PT_00431
adenosine deaminase abnormal	PT_00432
adenosine deaminase decreased	PT_00433
adenosine deaminase increased	PT_00434
adenosquamous carcinoma of the cervix	PT_00435
adenosquamous cell carcinoma	PT_00436
adenosquamous cell lung cancer	PT_00437
adenosquamous cell lung cancer recurrent	PT_00438
adenosquamous cell lung cancer stage i	PT_00439
adenosquamous cell lung cancer stage iv	PT_00440
adenotonsillectomy	PT_00441
adenoviral conjunctivitis	PT_00442
adenoviral encephalitis	PT_00443
adenoviral haemorrhagic cystitis	PT_00444
adenoviral hepatitis	PT_00445
adenoviral meningitis	PT_00446
adenoviral upper respiratory infection	PT_00447
adenovirus encephalomyeloradiculitis	PT_00448
adenovirus infection	PT_00449
adenovirus interstitial nephritis	PT_00450
adenovirus reactivation	PT_00451
adenovirus test	PT_00452
adenovirus test positive	PT_00453
adenylosuccinate lyase deficiency	PT_00454
adhesiolysis	PT_00455
adhesion	PT_00456
adhesive tape use	PT_00457
adipomastia	PT_00458
adiponectin increased	PT_00459
adiposis dolorosa	PT_00460
adjacent segment degeneration	PT_00461
adjusted calcium	PT_00462
adjusted calcium decreased	PT_00463
adjusted calcium increased	PT_00464
adjustment disorder	PT_00465
adjustment disorder with anxiety	PT_00466
adjustment disorder with depressed mood	PT_00467
adjustment disorder with disturbance of conduct	PT_00468
adjustment disorder with mixed anxiety and depressed mood	PT_00469
adjustment disorder with mixed disturbance of emotion and conduct	PT_00470
adjuvant therapy	PT_00471
administration related reaction	PT_00472
administration site abscess	PT_00473
administration site abscess sterile	PT_00474
administration site acne	PT_00475
administration site anaesthesia	PT_00476
administration site atrophy	PT_00477
administration site bruise	PT_00478
administration site calcification	PT_00479
administration site cellulitis	PT_00480
administration site coldness	PT_00481
administration site cyst	PT_00482
administration site dermatitis	PT_00483
administration site discharge	PT_00484
administration site discolouration	PT_00485
administration site discomfort	PT_00486
administration site dryness	PT_00487
administration site dysaesthesia	PT_00488
administration site eczema	PT_00489
administration site erosion	PT_00490
administration site erythema	PT_00491
administration site exfoliation	PT_00492
administration site extravasation	PT_00493
administration site fibrosis	PT_00494
administration site granuloma	PT_00495
administration site haematoma	PT_00496
administration site haemorrhage	PT_00497
administration site hyperaesthesia	PT_00498
administration site hypersensitivity	PT_00499
administration site hypertrichosis	PT_00500
administration site hypertrophy	PT_00501
administration site hypoaesthesia	PT_00502
administration site indentation	PT_00503
administration site induration	PT_00504
administration site infection	PT_00505
administration site inflammation	PT_00506
administration site injury	PT_00507
administration site irritation	PT_00508
administration site ischaemia	PT_00509
administration site joint discomfort	PT_00510
administration site joint erythema	PT_00511
administration site joint infection	PT_00512
administration site joint inflammation	PT_00513
administration site joint movement impairment	PT_00514
administration site joint pain	PT_00515
administration site laceration	PT_00516
administration site macule	PT_00517
administration site mass	PT_00518
administration site movement impairment	PT_00519
administration site necrosis	PT_00520
administration site nerve damage	PT_00521
administration site nodule	PT_00522
administration site odour	PT_00523
administration site oedema	PT_00524
administration site pain	PT_00525
administration site pallor	PT_00526
administration site papule	PT_00527
administration site paraesthesia	PT_00528
administration site phlebitis	PT_00529
administration site photosensitivity reaction	PT_00530
administration site plaque	PT_00531
administration site pruritus	PT_00532
administration site pustule	PT_00533
administration site rash	PT_00534
administration site reaction	PT_00535
administration site recall reaction	PT_00536
administration site scab	PT_00537
administration site scar	PT_00538
administration site streaking	PT_00539
administration site swelling	PT_00540
administration site thrombosis	PT_00541
administration site ulcer	PT_00542
administration site urticaria	PT_00543
administration site vasculitis	PT_00544
administration site vesicles	PT_00545
administration site warmth	PT_00546
administration site wound	PT_00547
adnexa uteri calcification	PT_00548
parovarian cyst	PT_00549
adnexa uteri cyst	PT_00549
adnexa uteri mass	PT_00550
adnexa uteri pain	PT_00551
adnexal torsion	PT_00552
adolescence	PT_00553
adrenal adenoma	PT_00554
adrenal androgen deficiency	PT_00555
adrenal androgen excess	PT_00556
adrenal atrophy	PT_00557
adrenal calcification	PT_00558
adrenal cortex necrosis	PT_00559
adrenal cyst	PT_00560
adrenal disorder	PT_00561
adrenal gland abscess	PT_00562
adrenal gland cancer	PT_00563
adrenal gland cancer metastatic	PT_00564
adrenal gland injury	PT_00565
adrenal gland operation	PT_00566
adrenal gland tuberculosis	PT_00567
adrenal haematoma	PT_00568
adrenal haemorrhage	PT_00569
adrenal insufficiency	PT_00570
adrenal insufficiency neonatal	PT_00571
adrenal mass	PT_00572
adrenal medulla hyperfunction	PT_00573
adrenal neoplasm	PT_00574
adrenal suppression	PT_00575
adrenal thrombosis	PT_00576
adrenalectomy	PT_00577
adrenalitis	PT_00578
adrenergic syndrome	PT_00579
adrenocortical carcinoma	PT_00580
adrenocortical insufficiency acute	PT_00581
adrenocortical insufficiency neonatal	PT_00582
adrenocortical steroid therapy	PT_00583
adrenocorticotropic hormone deficiency	PT_00584
adrenogenital syndrome	PT_00585
adrenoleukodystrophy	PT_00586
adrenomegaly	PT_00587
adult failure to thrive	PT_00588
adult polyglucosan body disease	PT_00589
adult t-cell lymphoma/leukaemia	PT_00590
adult t-cell lymphoma/leukaemia recurrent	PT_00591
adult t-cell lymphoma/leukaemia refractory	PT_00592
adult t-cell lymphoma/leukaemia stage iii	PT_00593
adult t-cell lymphoma/leukaemia stage iv	PT_00594
adulterated product	PT_00595
advanced sleep phase	PT_00596
advanced systemic mastocytosis	PT_00597
adventitial cystic disease	PT_00598
adverse drug reaction	PT_00599
adverse event	PT_00600
adverse event following immunisation	PT_00601
adverse food reaction	PT_00602
adverse reaction	PT_00603
aerococcus urinae infection	PT_00604
aeromona infection	PT_00605
aeromonas infection	PT_00605
aeromonas test positive	PT_00606
aerophagia	PT_00607
phobia of flying	PT_00608
aerophobia	PT_00608
aesthesioneuroblastoma	PT_00609
affect lability	PT_00610
affective ambivalence	PT_00611
affective disorder	PT_00612
afferent loop syndrome	PT_00613
african trypanosomiasis	PT_00614
afterbirth pain	PT_00615
age-related macular degeneration	PT_00616
agep-dress overlap	PT_00617
ageusia	PT_00618
aggregatibacter infection	PT_00619
aggression	PT_00620
agitated depression	PT_00621
agitation	PT_00622
agitation neonatal	PT_00623
agitation postoperative	PT_00624
aglossia	PT_00625
agnosia	PT_00626
agonal death struggle	PT_00627
agonal respiration	PT_00628
agonal rhythm	PT_00629
agoraphobia	PT_00630
agranulocytosis	PT_00631
agraphia	PT_00632
aicardi's syndrome	PT_00633
aicardi-goutieres syndrome	PT_00634
aichmophobia	PT_00635
aids cholangiopathy	PT_00636
aids related complex	PT_00637
aids related complication	PT_00638
aids retinopathy	PT_00639
air embolism	PT_00640
air-borne transmission	PT_00641
airway burns	PT_00642
airway complication of anaesthesia	PT_00643
airway compression	PT_00644
airway peak pressure	PT_00645
airway peak pressure decreased	PT_00646
airway peak pressure increased	PT_00647
airway remodelling	PT_00648
airway secretion clearance therapy	PT_00649
akathisia	PT_00650
akinaesthesia	PT_00651
akinesia	PT_00652
alagille syndrome	PT_00653
alanine aminotransferase	PT_00654
alanine aminotransferase abnormal	PT_00655
alanine aminotransferase decreased	PT_00656
alanine aminotransferase increased	PT_00657
albinism	PT_00658
albright's disease	PT_00659
albumin csf abnormal	PT_00660
albumin csf increased	PT_00661
albumin globulin ratio	PT_00662
albumin globulin ratio abnormal	PT_00663
albumin globulin ratio decreased	PT_00664
albumin globulin ratio increased	PT_00665
albumin urine	PT_00666
albumin urine absent	PT_00667
albumin urine present	PT_00668
albuminuria	PT_00669
alcaligenes infection	PT_00670
alcohol abuse	PT_00671
alcohol detoxification	PT_00672
alcohol induced persisting dementia	PT_00673
alcohol interaction	PT_00674
alcohol intolerance	PT_00675
alcohol poisoning	PT_00676
alcohol problem	PT_00677
alcohol rehabilitation	PT_00678
alcohol test	PT_00679
alcohol test false positive	PT_00680
alcohol test negative	PT_00681
alcohol test positive	PT_00682
alcohol use	PT_00683
alcohol use disorder	PT_00684
alcohol withdrawal syndrome	PT_00685
alcoholic	PT_00686
alcoholic coma	PT_00687
alcoholic encephalopathy	PT_00688
alcoholic hangover	PT_00689
alcoholic ketoacidosis	PT_00690
alcoholic liver disease	PT_00691
alcoholic pancreatitis	PT_00692
alcoholic psychosis	PT_00693
alcoholic seizure	PT_00694
alcoholism	PT_00695
aldolase abnormal	PT_00696
aldolase decreased	PT_00697
aldolase increased	PT_00698
aldosterone urine increased	PT_00699
aleukaemic leukaemia	PT_00700
alexander disease	PT_00701
alexia	PT_00702
alexithymia	PT_00703
algophobia	PT_00704
alice in wonderland syndrome	PT_00705
alien limb syndrome	PT_00706
alk gene rearrangement assay	PT_00707
alk gene rearrangement positive	PT_00708
alkalinuria	PT_00709
alkalosis	PT_00710
alkalosis hypochloraemic	PT_00711
alkalosis hypokalaemic	PT_00712
alkaptonuria	PT_00713
allergic bronchitis	PT_00714
allergic bronchopulmonary mycosis	PT_00715
allergic colitis	PT_00716
allergic cough	PT_00717
allergic cystitis	PT_00718
allergic eosinophilia	PT_00719
allergic fungal rhinosinusitis	PT_00720
allergic gastroenteritis	PT_00721
allergic hepatitis	PT_00722
allergic keratitis	PT_00723
allergic lymphangitis	PT_00724
allergic oedema	PT_00725
allergic otitis media	PT_00726
allergic pharyngitis	PT_00727
allergic reaction to excipient	PT_00728
allergic respiratory disease	PT_00729
allergic respiratory symptom	PT_00730
allergic sinusitis	PT_00731
allergic stomatitis	PT_00732
allergic transfusion reaction	PT_00733
allergy alert test positive	PT_00734
allergy prophylaxis	PT_00735
allergy test	PT_00736
allergy test negative	PT_00737
allergy test positive	PT_00738
allergy to animal	PT_00739
allergy to arthropod bite	PT_00740
allergy to arthropod sting	PT_00741
allergy to chemicals	PT_00742
allergy to dental material	PT_00743
allergy to fermented products	PT_00744
allergy to immunoglobulin therapy	PT_00745
allergy to metals	PT_00746
allergy to plants	PT_00747
allergy to silk	PT_00748
allergy to sting	PT_00749
allergy to surgical sutures	PT_00750
allergy to synthetic fabric	PT_00751
allergy to vaccine	PT_00752
allergy to venom	PT_00753
allescheriosis	PT_00754
allodynia	PT_00755
allogenic bone marrow transplantation therapy	PT_00756
allogenic stem cell transplantation	PT_00757
alloimmune hepatitis	PT_00758
alloimmunisation	PT_00759
alopecia	PT_00760
alopecia areata	PT_00761
alopecia scarring	PT_00762
alopecia syphilitic	PT_00763
alopecia totalis	PT_00764
alopecia universalis	PT_00765
alpers disease	PT_00766
alpers' disease	PT_00766
alpha 1 foetoprotein	PT_00767
alpha 1 foetoprotein abnormal	PT_00768
alpha 1 foetoprotein amniotic fluid increased	PT_00769
alpha 1 foetoprotein decreased	PT_00770
alpha 1 foetoprotein increased	PT_00771
alpha 1 globulin abnormal	PT_00772
alpha 1 globulin decreased	PT_00773
alpha 1 globulin increased	PT_00774
alpha 1 microglobulin	PT_00775
alpha 1 microglobulin decreased	PT_00776
alpha 1 microglobulin increased	PT_00777
alpha 2 globulin	PT_00778
alpha 2 globulin abnormal	PT_00779
alpha 2 globulin decreased	PT_00780
alpha 2 globulin increased	PT_00781
alpha globulin decreased	PT_00782
alpha globulin increased	PT_00783
alpha haemolytic streptococcal infection	PT_00784
alpha hydroxybutyrate dehydrogenase	PT_00785
alpha hydroxybutyrate dehydrogenase decreased	PT_00786
alpha hydroxybutyrate dehydrogenase increased	PT_00787
alpha tumour necrosis factor	PT_00788
alpha tumour necrosis factor decreased	PT_00789
alpha tumour necrosis factor increased	PT_00790
alpha-1 acid glycoprotein increased	PT_00791
alpha-1 anti-trypsin	PT_00792
alpha-1 anti-trypsin abnormal	PT_00793
alpha-1 anti-trypsin decreased	PT_00794
alpha-1 anti-trypsin increased	PT_00795
alpha-1 antitrypsin deficiency	PT_00796
alpha-1 anti-trypsin deficiency	PT_00796
alpha-2 macroglobulin increased	PT_00797
alpha-l-fucosidase increased	PT_00798
alpha-thalassaemia-intellectual deficit syndrome	PT_00799
alphaviral infection	PT_00800
alport's syndrome	PT_00801
alstroem syndrome	PT_00802
altered pitch perception	PT_00803
altered state of consciousness	PT_00804
altered visual depth perception	PT_00805
alternaria infection	PT_00806
alternating hemiplegia of childhood	PT_00807
aluminium overload	PT_00808
alveolar aeration excessive	PT_00809
alveolar bone defect	PT_00810
alveolar bone resection	PT_00811
alveolar bone resorption	PT_00812
alveolar capillary dysplasia	PT_00813
alveolar lung disease	PT_00814
alveolar osteitis	PT_00815
alveolar oxygen partial pressure abnormal	PT_00816
alveolar oxygen partial pressure decreased	PT_00817
alveolar oxygen partial pressure increased	PT_00818
alveolar proteinosis	PT_00819
alveolar rhabdomyosarcoma	PT_00820
